cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.65
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.33
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56,53.46
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56,56.85
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14,33.73
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,23.22
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.58
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28,39.7
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28,15.09
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
194.7,0.0,100.5,170.2,7.5,998.0,901.8,56,43.39
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,68.75
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.46
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.58
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,21.07
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28,58.52
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,27.22
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,25.02
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,35.36
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.17
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.61
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28,33.04
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28,41.54
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,55.94
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3,15.34
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.42
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3,21.91
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90,32.07
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.7
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
